"subject" "gender" "age" "race" "education" "major" "native.language" "handedness" "typingskill"
"s002" "Female" "18-30" "Caucasian" "Undergrad" "Computer Science" "English" "Right" "Touch"
"s003" "Female" "31+" "Asian" "Ph.D. student" "-" "Cebuano" "Right" "Touch"
"s004" "Female" "18-30" "Caucasian" "Ph.D. student" "-" "English" "Right" "Other"
"s005" "Female" "18-30" "African" "Ph.D. student" "-" "Swahili" "Right" "Other"
"s007" "Male" "18-30" "Caucasian" "Undergrad" "Computer Science" "English" "Right" "Touch"
"s008" "Male" "18-30" "Caucasian" "Undergrad" "Computer Science" "English" "Left" "Touch"
"s010" "Male" "18-30" "Caucasian" "Undergrad" "Computer Science" "English" "Left" "Other"
"s011" "Male" "18-30" "Caucasian" "Undergrad" "Computer Science" "English" "Right" "Touch"
"s012" "Female" "18-30" "Caucasian" "Undergrad" "Computer Science" "English" "Left" "Other"
"s013" "Male" "31+" "Caucasian" "Undergrad" "Computer Science" "English" "Left" "Touch"
"s015" "Male" "18-30" "Caucasian" "Ph.D. student" "-" "English" "Right" "Other"
"s016" "Female" "31+" "Multi-racial" "Staff - administrative" "-" "English" "Right" "Other"
"s017" "Male" "18-30" "Caucasian" "Ph.D. student" "-" "English" "Right" "Touch"
"s018" "Male" "18-30" "Asian" "Master's student/ staff-technical" "-" "Urdu" "Right" "Other"
"s019" "Male" "31+" "Caucasian" "Faculty" "-" "English" "Right" "Other"
"s020" "Female" "18-30" "Asian" "Faculty" "-" "English" "Right" "Touch"
"s021" "Male" "31+" "Caucasian" "Faculty" "-" "English" "Right" "Other"
"s022" "Female" "18-30" "Caucasian" "Faculty" "-" "English" "Right" "Other"
"s023" "Female" "31+" "African American" "Staff - administrative" "-" "English" "Right" "Other"
"s024" "Male" "18-30" "Caucasian" "Staff - administrative" "-" "English" "Right" "Touch"
"s025" "Female" "31+" "Caucasian" "Staff - administrative" "-" "English" "Right" "Touch"
"s026" "Female" "31+" "Caucasian" "Staff - administrative" "-" "English" "Right" "Touch"
"s027" "Female" "31+" "Caucasian" "Staff - administrative" "-" "English" "Right" "Touch"
"s028" "Female" "18-30" "Caucasian" "Staff - administrative" "-" "English" "Right" "Touch"
"s029" "Female" "18-30" "Asian" "Undergrad" "ECE" "Bengali" "Right" "Touch"
"s030" "Female" "18-30" "Caucasian" "Staff - administrative" "-" "English" "Right" "Touch"
"s031" "Female" "31+" "Caucasian" "Staff - administrative" "-" "English" "Right" "Touch"
"s032" "Male" "18-30" "Caucasian" "Undergrad" "CS" "Turkish" "Right" "Touch"
"s033" "Female" "31+" "African American" "Staff - administrative" "-" "English" "Right" "Other"
"s034" "Male" "18-30" "Caucasian" "Master's student/ staff - technical" "IT Management" "English" "Right" "Touch"
"s035" "Male" "18-30" "Caucasian" "staff - technical" "Communication/Info systems" "English" "Right" "Other"
"s036" "Male" "18-30" "Caucasian" "staff - technical" "Mechanical Engineering" "English" "Right" "Other"
"s037" "Male" "31+" "Caucasian" "staff - technical" "-" "English" "Right" "Other"
"s038" "Female" "31+" "Caucasian" "Staff - administrative" "Finance/accounting" "Russian" "Right" "Other"
"s039" "Female" "31+" "Caucasian" "Faculty" "Library Science" "English" "Right" "Other"
"s040" "Female" "18-30" "Caucasian" "Staff - administrative" "-" "English" "Left" "Touch"
"s041" "Female" "18-30" "Caucasian" "-" "Prof. Writing" "English" "Right" "Touch"
